id,country,city,line,start_year,end_year,length,tunnel,stations,cost,currency,real_cost_USD
7776,CN,Beijing,Line 3 Phase 1+2,2016,2021,37.4,20.8,27,41500,CNY,10720.74
7777,CN,Beijing,Line 12,2017,2021,29.2,29.2,21,32400,CNY,8369.93
7778,CN,Guangzhou,Line 13 Phase 2,2017,2021,33.6,33.6,23,37075,CNY,8861.14
7779,CN,Guangzhou,Line 10,2017,2022,25.2,25.2,19,28920,CNY,6879.16
7784,CN,Shenzhen,Line 12,2017,2022,40,40,33,38140,CNY,9115.68
7785,CN,Beijing,Line 8 Phase 4,2016,2018,3.4,0.9886,2,3420,CNY,883.49
7786,CN,Chengdu,Line 18 Phase 3,2019,2024,14.29,14.29,7,14656,CNY,3491.19
7787,CN,Tianjin,M8 Phase 1,2017,2020,20,20,18,20053,CNY,5180.32
7792,CN,Beijing,Line 19 Phase 1,2017,2021,22.4,22.4,10,22180,CNY,5729.79
7793,CN,Beijing,Line 17,2015,2022,49.7,49.7,21,49200,CNY,12709.89
7794,CN,Beijing,Line 16,2013,2021,49.8,49.8,29,49500,CNY,13509.83
7795,CN,Beijing,Line 25 Phase 2 (Fangshan Northern Extension),2017,2020,5,NA,4,4860,CNY,1255.49
7800,CN,Tianjin,M10 Phase 1,2015,2020,24,24,23,23203,CNY,5994.06
7801,CN,Tianjin,M7 Phase 1,2017,2020,26.9,26.9,24,25704,CNY,6640.14
7802,CN,Wuhan,Line 12 (Ring),2020,2024,59.9,59.9,37,58387,CNY,13888.44
7803,CN,Nanchang,Line 2 Eastern Extension,2017,2020,4.7,4.7,4,4420,CNY,1141.82
7808,CN,Chengdu,Line 8 Phase 2,2019,2024,7.83,7.83,7,7452,CNY,1775.13
7809,CN,Tianjin,M11 Phase 1,2017,2020,25.4,25.4,25,23607,CNY,6098.42
